"id","marka_id","model_id","name","status"
191,2,219,"AVENIR",1
192,2,2220,"BASSARA",1
193,2,9694,"BE-1",1
194,2,9806,"BIGTHUMB",1
195,2,225,"BLUEBIRD",1
196,2,227,"BLUEBIRD SYLPHY",1
197,2,31305,"BUS",1
198,2,229,"CARAVAN",1
199,2,230,"CARAVAN BUS",1
200,2,232,"CEDRIC",1
201,2,234,"CEDRIC VAN",1
202,2,235,"CEDRIC WAGON",1
203,2,236,"CEFIRO",1
204,2,238,"CIMA",1
205,2,9810,"CIVILIAN",1
206,2,2093,"CLIPPER RIO",1
207,2,240,"CLIPPER TRUCK",1
208,2,241,"CLIPPER VAN",1
209,2,243,"CONDOR",1
210,2,30916,"COUPE",1
211,2,246,"CUBE",1
212,2,9812,"CUBECUBIC",1
213,2,248,"DATSUN",1
214,2,10547,"DATSUN PICKUP",1
215,2,10565,"DAYZ",1
216,2,10860,"DAYZ ROOX",1
217,2,1463,"DUALIS",1
218,2,250,"ELGRAND",1
219,2,252,"EXA",1
220,2,253,"EXPERT",1
221,2,9814,"FAIRLADYZ",1
222,2,256,"FIGARO",1
223,2,257,"FUGA",1
224,2,9111,"FUGA HYBRID",1
225,2,258,"GAZELLE",1
226,2,259,"GLORIA",1
227,2,262,"GLORIA WAGON",1
228,2,2001,"GT-R",1
229,2,264,"HOMY",1
230,2,267,"HOMY VAN",1
231,2,8830,"JUKE",1
232,2,5060,"KIX",1
233,2,271,"LAFESTA",1
234,2,273,"LARGO",1
235,2,9817,"LATIO",1
236,2,275,"LAUREL",1
237,2,9209,"LEAF",1
238,2,276,"LEOPARD",1
239,2,278,"LEOPARD J.FERIE",1
240,2,280,"LIBERTY",1
241,2,284,"MARCH",1
242,2,287,"MISTRAL",1
243,2,288,"MOCO",1
244,2,289,"MURANO",1
245,2,290,"NISSAN",1
246,2,291,"NISSAN BUS",1
247,2,7718,"NISSAN FORKLIFT",1
248,2,293,"NISSAN TRUCK",1
249,2,294,"NISSAN UD",1
250,2,296,"NOTE",1
251,2,10675,"NT100 CLIPPER",1
252,2,10027,"NV100 CLIPPER",1
253,2,26373,"NV100 CLIPPER RIO",1
254,2,5709,"NV200",1
255,2,5763,"NV200 VANETTE VAN",1
256,2,10198,"NV350 CARAVAN",1
257,2,1202,"OTHERS",1
258,2,300,"OTTI",1
259,2,301,"PAO",1
260,2,303,"PINO",1
261,2,304,"PRAIRIE",1
262,2,306,"PRESAGE",1
263,2,307,"PRESEA",1
264,2,308,"PRESIDENT",1
265,2,310,"PRIMERA",1
266,2,314,"PRIMERA WAGON",1
267,2,316,"PULSAR",1
268,2,7808,"QUON",1
269,2,320,"R NESSA",1
270,2,321,"RASHEEN",1
271,2,2231,"RNESSA",1
272,2,6358,"ROOX",1
273,2,324,"SAFARI",1
274,2,326,"SERENA",1
275,2,327,"SERENA VAN",1
276,2,328,"SILVIA",1
277,2,329,"SIVILIAN",1
278,2,330,"SKYLINE",1
279,2,5741,"SKYLINE CROSSOVER",1
280,2,334,"STAGEA",1
281,2,335,"SUNNY",1
282,2,337,"SUNNY TRUCK",1
283,2,339,"TEANA",1
284,2,340,"TERRANO",1
285,2,341,"TERRANO REGULUS",1
286,2,343,"TIIDA",1
287,2,344,"TIIDA LATIO",1
288,2,345,"TINO",1
289,2,9641,"UD",1
290,2,347,"VANETTE",1
291,2,350,"VANETTE TRUCK",1
292,2,351,"VANETTE VAN",1
293,2,354,"WINGROAD",1
294,2,355,"X-TRAIL",1
295,3,357,"ATENZA SEDAN",1
296,3,358,"ATENZA SPORT",1
297,3,2024,"ATENZA WAGON",1
298,3,361,"AUTOZAM AZ-3",1
299,3,362,"AUTOZAM CAROL",1
300,3,366,"AXELA",1
301,3,11172,"AXELA HYBRID",1
302,3,4773,"AZ OFFROAD",1
303,3,368,"AZ WAGON",1
304,3,1897,"AZ-1",1
305,3,369,"AZ-OFFROAD",1
306,3,4893,"BIANTE",1
307,3,371,"BONGO",1
308,3,2025,"BONGO BRAWNY AFT",1
309,3,374,"BONGO BRAWNY TRUCK",1
310,3,375,"BONGO BRAWNY VAN",1
311,3,26354,"BONGO BROWNY TRUCK",1
312,3,377,"BONGO FRIENDEE",1
313,3,379,"BONGO VAN",1
314,3,380,"CAPELLA",1
315,3,384,"CAPELLA WAGON",1
316,3,385,"CAROL",1
317,3,11179,"CAROL ECO",1
318,3,23398,"CX-3",1
319,3,9958,"CX-5",1
320,3,9644,"CX-7",1
321,3,389,"DEMIO",1
322,3,394,"EFINI RX-7",1
323,3,398,"EUNOS 800",1
324,3,401,"EUNOS ROADSTER",1
325,3,404,"FAMILIA",1
326,3,2251,"FAMILIA S WAGON",1
327,3,409,"FAMILIA VAN",1
328,3,10302,"FLAIR",1
329,3,11183,"FLAIR CROSSOVER",1
330,3,10236,"FLAIR WAGON",1
331,3,418,"LANTIS",1
332,3,419,"LAPUTA",1
333,3,2256,"MAZDA SPEED ATENZA",1
334,3,4846,"MAZDA SPEED AXELA",1
335,3,426,"MILLENIA",1
336,3,427,"MPV",1
337,3,429,"MS 8",1
338,3,1202,"OTHERS",1
339,3,435,"PERSONA",1
340,3,438,"PREMACY",1
341,3,439,"PROCEED",1
342,3,440,"PROCEED LEVANTE",1
343,3,441,"PROCEED MARVIE",1
344,3,443,"ROADSTER",1
345,3,446,"RX-7",1
346,3,447,"RX-8",1
347,3,449,"SCRUM",1
348,3,450,"SCRUM TRUCK",1
349,3,454,"SPIANO",1
350,3,456,"TITAN",1
351,3,457,"TRIBUTE",1
352,3,458,"VERISA",1
353,4,1278,"AERO MIDI",1
354,4,2165,"AERO QUENN",1
355,4,1260,"AERO STAR",1
356,4,460,"AIRTREK",1
357,4,463,"BRAVO",1
358,4,2234,"CANTER",1
359,4,26365,"CANTER GUTS TRUCK",1
360,4,467,"CHALLENGER",1
361,4,468,"CHARIOT",1
362,4,469,"CHARIOT GRANDIS",1
363,4,471,"COLT",1
364,4,472,"COLT PLUS",1
365,4,473,"DEBONAIR",1
366,4,475,"DELICA",1
367,4,9747,"DELICA D 2",1
368,4,9587,"DELICA D3",1
369,4,2015,"DELICA D5",1
370,4,9160,"DELICA D:2",1
371,4,9563,"DELICA D:3",1
372,4,479,"DELICA TRUCK",1
373,4,481,"DIAMANTE",1
374,4,482,"DIAMANTE WAGON",1
375,4,484,"DINGO",1
376,4,485,"DION",1
377,4,486,"ECLIPSE",1
378,4,487,"ECLIPSE SPIDER",1
379,4,2040,"EK ACTIVE",1
380,4,10559,"EK CUSTOM",1
381,4,10939,"EK SPACE",1
382,4,11197,"EK SPACE CUSTOM",1
383,4,9835,"EK SPORTS",1
384,4,4770,"EK WAGON",1
385,4,497,"FTO",1
386,4,498,"FUSO",1
387,4,26366,"FUSO AERO MIDI BUS",1
388,4,2838,"FUSO BUS",1
389,4,2236,"FUSO FIGHTER",1
390,4,26367,"FUSO MIGNON",1
391,4,26368,"FUSO ROSA BUS",1
392,4,1328,"FUSO TRUCK",1
393,4,499,"GALANT",1
394,4,1926,"GALANT FORTIS",1
395,4,502,"GRANDIS",1
396,4,503,"GREAT",1
397,4,504,"GTO",1
398,4,505,"I",1
399,4,9164,"I-MIEV",1
400,4,506,"JEEP",1
401,4,507,"LANCER",1
402,4,512,"LANCER VAN",1
403,4,514,"LEGNUM",1
404,4,516,"LIBERO VAN",1
405,4,517,"MINICA",1
406,4,10358,"MINICAB MIEV",1
407,4,523,"MINICAB TRUCK",1
408,4,524,"MINICAB VAN",1
409,4,525,"MINIYON",1
410,4,526,"MIRAGE",1
411,4,529,"MITSUBISHI",1
412,4,531,"MITUBISHI BUS",1
413,4,7719,"MITUBISHI FORKLIFT",1
414,4,7739,"MITUBISHI WHEELLOADER",1
415,4,8828,"MITUBISHI YUMBO",1
416,4,1202,"OTHERS",1
417,4,534,"OUTLANDER",1
418,4,10851,"OUTLANDER PHEV",1
419,4,535,"PAJERO",1
420,4,536,"PAJERO IO",1
421,4,537,"PAJERO JUNIOR",1
422,4,538,"PAJERO MINI",1
423,4,540,"PROUDIA",1
424,4,541,"ROSA",1
425,4,542,"RVR",1
426,4,26369,"S.GREAT",1
427,4,545,"STRADA",1
428,4,4341,"SUPER GREAT",1
429,4,1392,"TOPPO",1
430,4,546,"TOPPO BJ",1
431,4,547,"TOPPO BJ VAN",1
432,4,9839,"TOWNBOX",1
433,4,4768,"TOWNBOX WIDE",1
434,4,550,"TRITON",1
435,5,551,"ACCORD",1
436,5,11164,"ACCORD HYBRID",1
437,5,5517,"ACCORD TOURER",1
438,5,554,"ACCORD WAGON",1
439,5,556,"ACTY TRUCK",1
440,5,557,"ACTY VAN",1
441,5,560,"AIRWAVE",1
442,5,561,"ASCOT",1
443,5,563,"AVANCIER",1
444,5,564,"BEAT",1
445,5,565,"CAPA",1
446,5,566,"CITY",1
447,5,567,"CIVIC",1
448,5,2263,"CIVIC COUPE",1
449,5,569,"CIVIC HYBRID",1
450,5,574,"CR-V",1
451,5,575,"CR-X",1
452,5,6832,"CR-Z",1
453,5,577,"CROSSROAD",1
454,5,578,"DOMANI",1
455,5,579,"EDIX",1
456,5,580,"ELEMENT",1
457,5,581,"ELYSION",1
458,5,582,"FIT",1
459,5,9251,"FIT SHUTTLE",1
460,5,2930,"FREED",1
461,5,9617,"FREED HYBRID",1
462,5,8881,"FREED SPIKE",1
463,5,31878,"GALANT FORTIS",1
464,5,22585,"GRACE",1
465,5,584,"HONDA",1
466,5,586,"HR-V",1
467,5,587,"INSIGHT",1
468,5,9776,"INSIGHT EXCLUSIVE",1
469,5,588,"INSPIRE",1
470,5,589,"INTEGRA",1
471,5,23323,"JADE",1
472,5,593,"LAGREAT",1
473,5,594,"LEGEND",1
474,5,596,"LIFE",1
475,5,597,"LIFE DUNK",1
476,5,598,"LOGO",1
477,5,599,"MDX",1
478,5,600,"MOBILIO",1
479,5,601,"MOBILIO SPIKE",1
480,5,9586,"N BOX",1
481,5,9618,"N BOX CUSTOM",1
482,5,10199,"N BOX PLUS",1
483,5,26335,"N BOX+CUSTOM",1
484,5,10296,"N ONE",1
485,5,10791,"N WGN",1
486,5,26336,"N-BOX SLASH",1
487,5,26337,"N-ONE",1
488,5,26338,"N-WGN",1
489,5,604,"NSX",1
490,5,605,"ODYSSEY",1
491,5,27957,"ODYSSEY HYBRID",1
492,5,607,"ORTHIA",1
493,5,1202,"OTHERS",1
494,5,611,"PARTNER",1
495,5,612,"PRELUDE",1
496,5,616,"S-MX",1
497,5,617,"S2000",1
498,5,23718,"S660",1
499,5,619,"SABER",1
500,5,25837,"SHUTTLE",1
501,5,620,"SPIKE",1
502,5,621,"STEP WAGON",1
503,5,4764,"STEPWGN",1
504,5,623,"STREAM",1
505,5,624,"STREET",1
506,5,626,"THATS",1
507,5,627,"TODAY",1
508,5,629,"TORNEO",1
509,5,630,"VAMOS",1
510,5,10853,"VEZEL",1
511,5,633,"Z",1
512,5,634,"ZEST",1
513,6,635,"AERIO SEDAN",1
514,6,637,"ALTO",1
515,6,9742,"ALTO ECO",1
516,6,26555,"ALTO EKO",1
517,6,2281,"ALTO LAPIN",1
518,6,26556,"ALTO LAPIN CHOCOLATE",1
519,6,26557,"ALTO TURBO RS",1
520,6,4658,"BALENO",1
521,6,644,"CAPPUCCINO",1
522,6,1322,"CARAVAN",1
523,6,646,"CARRY TRUCK",1
524,6,648,"CERVO",1
525,6,649,"CERVO CLASSIC",1
526,6,9847,"CRUZE",1
527,6,659,"ESCUDO",1
528,6,661,"EVERY",1
529,6,662,"EVERY LANDY",1
530,6,665,"EVERY WAGON",1
531,6,668,"GRAND ESCUDO",1
532,6,10830,"HUSTLER",1
533,6,27958,"IGNIS",1
534,6,669,"JIMNY",1
535,6,670,"JIMNY L",1
536,6,671,"JIMNY SIERRA",1
537,6,672,"JIMNY WIDE",1
538,6,673,"KEI",1
539,6,6364,"KIZASHI",1
540,6,2042,"LANDY",1
541,6,676,"LAPIN",1
542,6,677,"MIGHTY BOY",1
543,6,678,"MR WAGON",1
544,6,26558,"MRWAGON",1
545,6,5746,"MW",1
546,6,1202,"OTHERS",1
547,6,2181,"PALETTE",1
548,6,7767,"SENIOCAR",1
549,6,683,"SOLIO",1
550,6,11204,"SOLIO BANDIT",1
551,6,10560,"SPACIA",1
552,6,11203,"SPACIA CUSTOM",1
553,6,5076,"SPLASH",1
554,6,684,"SUZUKI",1
555,6,687,"SWIFT",1
556,6,26559,"SWIFT SPORTS",1
557,6,1902,"SX-4",1
558,6,689,"TWIN",1
559,6,691,"WAGON R",1
560,6,26560,"WAGON R+",1
561,7,698,"ALCYONE SVX",1
562,7,9994,"BRZ",1
563,7,31827,"CHIFFON",1
564,7,5106,"DEX",1
565,7,700,"DIAS WAGON",1
566,7,4888,"EXIGA",1
567,7,703,"FORESTER",1
568,7,705,"IMPREZA",1
